,link,text,author_name,screen_name,ohi
9829,https://twitter.com/gatewaypundit/status/1629225834270654469,CAUGHT: StL Soros-Funded Circuit Attorney Lied in Remarks About Contacting Judge to Revoke Bond of Serial Criminal… https://t.co/rr1WIBriyp,The Gateway Pundit,gatewaypundit,0.987735093
7318,https://twitter.com/WarlordDilley/status/1628388303991984129,@DarrenJBeattie Fuck that Soros owned WEF piece of shit,Brenden Dilley,WarlordDilley,0.98759228
8099,https://twitter.com/gatewaypundit/status/1628570256040947712,"Finally, After Woman Loses Her Legs, Missouri Politicians Begin Actions to Remove Soros-Backed St. Louis DA Kim Gar… https://t.co/OTNthFKwWs",The Gateway Pundit,gatewaypundit,0.983182192
8951,https://twitter.com/gatewaypundit/status/1628882159464501249,"Soros-Funded Circuit Attorney Kim Gardner Plays Race Card at Press Conference, Refuses to Resign – After Missouri A… https://t.co/YnF38ensmE",The Gateway Pundit,gatewaypundit,0.977305949
11583,https://twitter.com/ali/status/1629906796537053186,"Turns out the ""Day of Hate,"" like I predicted, was a HOAX.

The ADL and other ethnic interest groups, Jewish, used… https://t.co/jEUMnxcXnd",Ali Alexander,ali,0.975716114
1829,https://twitter.com/RedPill78/status/1626278988065787904,"Newly exposed Israeli hacking ring claims to disrupt &amp; fix elections &amp; the Marburg False Flag is here, live @1pm he… https://t.co/4VOB5xILLO",Zak Paine aka Corruption Detector,RedPill78,0.972856641
2640,https://twitter.com/Sargon_of_Akkad/status/1626564262863708160,@SlavNation90 @OGRolandRat Nothing good comes from the Soros endorsement.,Carl Benjamin,Sargon_of_Akkad,0.9716717
7328,https://twitter.com/WarlordDilley/status/1628392175477092352,"Fuck Ukraine.
Fuck illegal immigrants.
Fuck the WEF
Fuck Soros
Fuck RINOs
Fuck Globalism
Fuck Socialism
Fuck Democr… https://t.co/pLCDivqodx",Brenden Dilley,WarlordDilley,0.970013499
7282,https://twitter.com/WarlordDilley/status/1628374600978509824,"Follow the bouncing ball...

George Soros funded the Nazi party in Ukraine, going as far back as 2005. We're talkin… https://t.co/5X0YWMdQn3",Brenden Dilley,WarlordDilley,0.967502415
9739,https://twitter.com/BaddCompani/status/1629202766227992577,'Team Jorge': Exposé unmasks Israeli group meddling in foreign elections... https://t.co/s2PhZjwzFG via @YouTube,Badd Company,BaddCompani,0.967163026
9339,https://twitter.com/PatrickByrne/status/1629045648698867712,BREAKING: Missouri Attorney General Gives Radical Soros-Funded StL Circuit Attorney Kim Gardener Until Noon Thursda… https://t.co/W9ZF206T18,Patrick Byrne,PatrickByrne,0.960025191
8198,https://twitter.com/gatewaypundit/status/1628610404967411716,UPDATE: Missouri Attorney General Gives Radical Soros-Funded StL Circuit Attorney Kim Gardener Until Noon Tomorrow… https://t.co/3sJsWIFp6d,The Gateway Pundit,gatewaypundit,0.952925861
2113,https://twitter.com/ali/status/1626330532089851907,Soros bets on DeSantis beating Trump. 🧐 https://t.co/yPZS6av9l8,Ali Alexander,ali,0.944842219
8787,https://twitter.com/gatewaypundit/status/1628840652271239168,UPDATE: Missouri Attorney General Files Paper Work to Remove Soros-Funded Circuit Attorney Kim Gardner from Office https://t.co/LHtsO999dp,The Gateway Pundit,gatewaypundit,0.943295419
1244,https://twitter.com/ali/status/1626048262741323779,"People who focus everything on China and Communism are really, really ignorant. 

In fact, it’s a trait of Judas.… https://t.co/zcYX7I0U7x",Ali Alexander,ali,0.924891412
10880,https://twitter.com/ali/status/1629591477432070145,"The ""Goyim Defense League"" looks like a LARP or honeypot. Note they follow the rules to a T but obsessed with the c… https://t.co/GoPSp6bc29",Ali Alexander,ali,0.913599432
454,https://twitter.com/PatrickByrne/status/1625824480886145025,@KAGDUDE What is the connection between obama and George Soros?,Patrick Byrne,PatrickByrne,0.910146892
