,link,text,author_name,screen_name,ohi
1362139,https://twitter.com/arigotch/status/1625154716043730944,@Trump716 (((They))) genocided the wrong palestine,Byron West,arigotch,0.993770897
1022767,https://twitter.com/sharonf1001/status/1625336891871576064,"@BettyBoo74_ @alyssaAtHome Just bc he’s black doesn’t make him honest.   
He is a Soros puppet.
He is firstly responsible for dividing our society, hating law enforcement, and ruining our economy and freedoms.",Sharon,sharonf1001,0.993673325
1158321,https://twitter.com/fjodor108/status/1624540471098843136,Heres the answer if anyone wondered why (((they))) let Lula off the Ukraine-hook https://t.co/jBZ8QCmWp0,Hverdags☀️💪❤,fjodor108,0.993561864
615675,https://twitter.com/JLStein79/status/1624885685969895424,@realstewpeters remember what ((they)) took from us,Unimpeachable79 🇺🇸,JLStein79,0.993549407
894094,https://twitter.com/HoaxCoronavirus/status/1625534761857957888,@LeeSmithDC jews have enslaved Ukraine and the US. looke are globalist criminal psychos like Nuland.,coronavirus is a hoax,HoaxCoronavirus,0.993423045
628905,https://twitter.com/Columcilled/status/1624747787878268928,"@EndWokeness This is Jewish subversion.

If you are Black, recognize that the Jews want you (again) to act as proxy warriors in their fight against Christianity while they work to keep you ignorant and serve you degenerate culture from Hollywood.

The Jews were the biz of the slave trade.",Sanctum Oleum,Columcilled,0.993228793
701873,https://twitter.com/Robbo1992x/status/1625122986599612416,I'm absolutely bored of reading on here the non-evidenced 'facts' that the Rothschild families a/ have financed both sides of every major war of the last 200 years and b/ own most of the world's central banks. For an all powerful vampire squid they sure have some shit PR people https://t.co/fOz8Aw7x2I,Rob Spear,Robbo1992x,0.993069351
894096,https://twitter.com/HoaxCoronavirus/status/1625493770816073728,America's jewish occupier regime are sentencing people to long prison sentences after phony show trials. question is why are whites enslaved and servile to jews?,coronavirus is a hoax,HoaxCoronavirus,0.992878616
33041,https://twitter.com/Bravo2xray/status/1623220975180386304,What A (((( Cuck)))) https://t.co/lNCxfBb644,Bravo2XRay,Bravo2xray,0.992878616
949829,https://twitter.com/hawkes_gaye/status/1625028933724028928,"@RedSquirrelFtw @Christi86051122 Here's a viable scientific explanation of 9/11 being a military psyop to bring the towers down while the Rothchilds sat on a balcony &amp; watched it all happen... knowing how their plan was accomplished. 
https://t.co/AUlUWd43VD",@gayehawkes,hawkes_gaye,0.992823124
